eid,doi,doi_url,title,source
2-s2.0-84924011894,,,Intelligent façade deployable multilayer adaptive membrane for sun-shading and insulation control and optimisation,11th World Congress on Computational Mechanics Wccm 2014 5th European Conference on Computational Mechanics Eccm 2014 and 6th European Conference on Computational Fluid Dynamics Ecfd 2014
2-s2.0-85051970214,,,Using physical testing to design and evaluate the acclimatisation of kinetic façades for daylight and thermal heat performance,Acadia 2014 Design Agency Proceedings of the 34th Annual Conference of the Association for Computer Aided Design in Architecture
2-s2.0-85088358810,,,The triple bottom line benefits of climate-responsive dynamic façades,30th International PLEA Conference Sustainable Habitat for Developing Societies Choosing the Way Forward Proceedings
2-s2.0-85037166977,,,Harvest shade screens programming material for optimal energy building skins,Acadia 2014 Design Agency Proceedings of the 34th Annual Conference of the Association for Computer Aided Design in Architecture
2-s2.0-84901823324,,,Acacia: A simulation platform for highly responsive smart facades,Simulation Series
2-s2.0-85030536726,,,Designing Resilient Buildings with Emergent Materials,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-84915749440,,,A new elasto-plastic material model for coated fabric in membrane structures,16th European Conference on Composite Materials Eccm 2014
2-s2.0-85063810226,,,"Parametric design for technological and ""smart"" system. Adaptive and optimized skin",30th International PLEA Conference Sustainable Habitat for Developing Societies Choosing the Way Forward Proceedings
2-s2.0-85088355797,,,"Environmental performance of adaptive building envelope design: Urban housing in Seoul, Korea",30th International PLEA Conference Sustainable Habitat for Developing Societies Choosing the Way Forward Proceedings
2-s2.0-84904663253,,,Controlling kinetic cladding components in building façades: A case for autonomous movement,Rethinking Comprehensive Design Speculative Counterculture Proceedings of the 19th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2014
2-s2.0-84924673672,,,Operative temperature and thermal comfort in the sun - Implementation and verification of a model for IDA ICE,Indoor Air 2014 13th International Conference on Indoor Air Quality and Climate
2-s2.0-85202486153,,,INTELLIGENT BUILDING ENVELOPE TO OPTIMISE THE EXPLOITATION OF SOLAR RADIATION,Zemch International Conference
