eid,doi,doi_url,title,source
2-s2.0-85112286642,10.1080/23311983.2021.1960699,https://doi.org/10.1080/23311983.2021.1960699,A typology of adaptive façades. An empirical study based on the morphology of glazed facades,Cogent Arts and Humanities
2-s2.0-85078011441,10.1080/17480272.2020.1713885,https://doi.org/10.1080/17480272.2020.1713885,Programmable passive actuation for adaptive building façade design using hygroscopic properties of wood,Wood Material Science and Engineering
2-s2.0-85141914528,10.1080/16874048.2021.1920138,https://doi.org/10.1080/16874048.2021.1920138,"Utilizing dynamic shading system to achieve daylight performance according to LEED standards V.4: case study, university classrooms in Egypt",Hbrc Journal
2-s2.0-85081920232,10.1080/00038628.2020.1742644,https://doi.org/10.1080/00038628.2020.1742644,Design-to-fabrication with thermo-responsive shape memory polymer applications for building skins,Architectural Science Review
2-s2.0-85079216383,10.1080/00038628.2020.1713042,https://doi.org/10.1080/00038628.2020.1713042,Development of a self-sufficient dynamic façade within the context of climate change,Architectural Science Review
2-s2.0-85104797731,10.1080/24751448.2021.1863662,https://doi.org/10.1080/24751448.2021.1863662,Notes from the Valley of Death: A Case for Entrepreneurship in Architecture,Technology Architecture and Design
2-s2.0-85119206483,10.1080/19401493.2021.1991475,https://doi.org/10.1080/19401493.2021.1991475,Dynamic heat transfer simulation method of building envelope based on Laguerre polynomials model order reduction,Journal of Building Performance Simulation
2-s2.0-85101800826,10.1080/09613218.2021.1889950,https://doi.org/10.1080/09613218.2021.1889950,Thermal performance of alternative binders lime hemp concrete (LHC) building: comparison with conventional building materials,Building Research and Information
2-s2.0-85107476783,10.1080/09613218.2021.1934377,https://doi.org/10.1080/09613218.2021.1934377,Thermal pleasure inside solar screened spaces: an experimental study to explore alliesthesia in architecture,Building Research and Information
2-s2.0-85099293992,10.1080/10420150.2020.1867138,https://doi.org/10.1080/10420150.2020.1867138,Kinetic envelope soliton in non-thermal quantum pair-ion plasma and Wigner stability,Radiation Effects and Defects in Solids
2-s2.0-85060331691,10.1080/17508975.2018.1562414,https://doi.org/10.1080/17508975.2018.1562414,Factors affecting the design and development of responsive facades: a historical evolution,Intelligent Buildings International
2-s2.0-85074022155,10.1080/23744731.2019.1642095,https://doi.org/10.1080/23744731.2019.1642095,Body force model for simulating airflow through dynamically oscillating louvers,Science and Technology for the Built Environment
2-s2.0-85076808957,10.1080/13467581.2019.1696206,https://doi.org/10.1080/13467581.2019.1696206,Design strategies and energy performance of a net-zero energy house based on natural philosophy,Journal of Asian Architecture and Building Engineering
2-s2.0-85068161154,10.1080/23744731.2019.1620578,https://doi.org/10.1080/23744731.2019.1620578,Numerical optimization of integrated passive heating and cooling systems yields simple protocols for building energy decarbonization,Science and Technology for the Built Environment
2-s2.0-85067676489,10.1080/00038628.2019.1614902,https://doi.org/10.1080/00038628.2019.1614902,Prototype development of responsive kinetic façade control system for the elderly based on Ambient Assisted Living,Architectural Science Review
2-s2.0-85060948233,10.1080/19401493.2018.1561754,https://doi.org/10.1080/19401493.2018.1561754,Opportunities and pitfalls of using building performance simulation in explorative R&D contexts,Journal of Building Performance Simulation
2-s2.0-85015911326,10.1080/14733315.2017.1302658,https://doi.org/10.1080/14733315.2017.1302658,Modelling natural ventilation for summer thermal comfort in Mediterranean dwellings,International Journal of Ventilation
2-s2.0-85044443630,10.1080/17508975.2018.1447437,https://doi.org/10.1080/17508975.2018.1447437,State-of-the-art of intelligent building envelopes in the context of intelligent technical systems,Intelligent Buildings International
2-s2.0-85061536141,10.1080/13602365.2018.1527385,https://doi.org/10.1080/13602365.2018.1527385,The kinetic architecture of jean tinguely’s culture stations,Journal of Architecture
2-s2.0-85045693815,10.1080/16864360.2018.1462566,https://doi.org/10.1080/16864360.2018.1462566,Use of neural network supervised learning to enhance the light environment adaptation ability and validity of Green BIM,Computer Aided Design and Applications
2-s2.0-85034626698,10.1080/17508975.2017.1394808,https://doi.org/10.1080/17508975.2017.1394808,Exploring design principles of biological and living building envelopes: what can we learn from plant cell walls?,Intelligent Buildings International
2-s2.0-85071365967,10.1080/24751448.2018.1420964,https://doi.org/10.1080/24751448.2018.1420964,Snapping Facades: Exploring Elastic Instability for the Building Envelope,Technology Architecture and Design
2-s2.0-85021871705,10.1080/00038628.2017.1337558,https://doi.org/10.1080/00038628.2017.1337558,The impacts of dynamic façade shading typologies on building energy performance and occupant’s multi-comfort,Architectural Science Review
2-s2.0-85017288064,10.1080/00038628.2017.1300132,https://doi.org/10.1080/00038628.2017.1300132,"Adaptive heating, ventilation and solar shading for dwellings",Architectural Science Review
2-s2.0-85009513850,10.1080/17452007.2016.1274252,https://doi.org/10.1080/17452007.2016.1274252,The impact of refurbished windows on Portuguese old school buildings,Architectural Engineering and Design Management
2-s2.0-84978473795,10.1080/15397734.2016.1165117,https://doi.org/10.1080/15397734.2016.1165117,A proposal for a convertible stadium roof structure derived from Watt-I linkage,Mechanics Based Design of Structures and Machines
2-s2.0-84961198385,10.1080/19401493.2016.1152303,https://doi.org/10.1080/19401493.2016.1152303,"Review of current status, requirements and opportunities for building performance simulation of adaptive facades†",Journal of Building Performance Simulation
